Sl No,AUTOMOTIVE Supplier (HW/SW/etc), OSS/Commercial, Path, Info, Comment,
1,Infineon,OSS & Commercial,https://github.com/Infineon/AURIX_code_examples,,,
1,ARM,,,,,
1,Renesas,,,,,
1,STM,,,,,
1,Nvidia,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,Automotive Product Portfolio,Commercial,https://www.boschline.com/home,,,
1,Sensors,Commercial,https://www.boschline.com/sensors,,,
1,Sensors and Actuators,OSS & Commercial,https://www.bosch-mobility.com/en/solutions/sensors/overview-powertrain-sensors/,,,
1,Sensors and Actuators,OSS & Commercial,https://github.com/boschsensortec,,,
1,System On Chip,,,,,
1,,,,,,
1,,,,,,
1,hersteller-initiative-software,,,,,
1,ISO26262 Compliant microcontrollers,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
